Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-11-29,-4455,5212,-757
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-12-06,-6008,5359,649
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-12-13,-5795,4659,1136
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-12-20,-3183,2221,962
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-12-27,-4002,2761,1241
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-01-03,-4174,2704,1470
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-01-10,-4054,1110,2944
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-01-17,-5571,2256,3315
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-01-24,-5834,2746,3088
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-01-31,-6151,1173,4978
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-02-07,-6896,3752,3144
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-02-14,-3716,603,3113
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-02-21,-766,-2430,3196
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-02-28,2078,-4559,2481
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-03-07,1255,-2707,1452
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-03-14,-2040,711,1329
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-03-21,-5620,3010,2610
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-03-28,-4421,1542,2879
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-04-04,-2394,-388,2782
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-04-11,-3056,-1428,4484
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-04-18,-3368,-1564,4932
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-04-25,-1220,-2629,3849
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-05-02,-1734,-2004,3738
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-05-09,-2979,-915,3894
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-05-16,-617,-2482,3099
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-05-23,4800,-6511,1711
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-05-30,5919,-6372,453
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-06-06,7385,-7302,-83
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-06-13,6756,-5656,-1100
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-06-20,4632,-3252,-1380
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-06-27,4799,-3710,-1089
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-07-03,3292,-2439,-853
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-07-11,2305,-2214,-91
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-07-18,4529,-3349,-1180
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-07-25,6943,-5694,-1249
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-08-01,6751,-6307,-444
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-08-08,6997,-6594,-403
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-08-15,8697,-8024,-673
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-08-22,10695,-9718,-977
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-08-29,11844,-11180,-664
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-09-05,10102,-8723,-1379
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-09-12,10163,-9394,-769
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-09-19,11160,-11042,-118
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-09-26,12089,-9601,-2488
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-10-03,11938,-12293,355
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-10-10,15011,-13287,-1724
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-10-17,9451,-8924,-527
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-10-24,10265,-9748,-517
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-10-31,11314,-10943,-371
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-11-07,14127,-13640,-487
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-11-14,19172,-17010,-2162
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-11-21,20944,-18102,-2842
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-11-28,22339,-17636,-4703
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-12-05,21218,-17082,-4136
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-12-12,20983,-17526,-3457
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-12-19,22852,-18971,-3881
COPPER- #1 - COMMODITY EXCHANGE INC.,2006-12-26,24285,-20207,-4078
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-01-03,23895,-19994,-3901
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-01-09,22990,-19255,-3735
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-01-16,23928,-20627,-3301
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-01-23,23635,-21371,-2264
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-01-30,23530,-21584,-1946
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-02-06,23167,-21898,-1269
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-02-13,21695,-20676,-1019
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-02-20,22039,-20711,-1328
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-02-27,20803,-18852,-1951
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-03-06,19984,-19279,-705
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-03-13,19953,-18265,-1688
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-03-20,16064,-15078,-986
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-03-27,14566,-15790,1224
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-04-03,12366,-12891,525
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-04-10,9723,-10024,301
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-04-17,9522,-8785,-737
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-04-24,8921,-8483,-438
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-05-01,7267,-8330,1063
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-05-08,6401,-8065,1664
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-05-15,8007,-9051,1044
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-05-22,11179,-11117,-62
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-05-29,10645,-11531,886
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-06-05,8587,-9583,996
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-06-12,9004,-8982,-22
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-06-19,8016,-8362,346
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-06-26,9836,-8923,-913
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-07-03,7742,-8350,608
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-07-10,3177,-3909,732
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-07-17,3597,-3767,170
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-07-24,2765,-2965,200
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-07-31,6215,-5415,-800
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-08-07,7370,-5554,-1816
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-08-14,9153,-5938,-3215
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-08-21,11588,-7067,-4521
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-08-28,11516,-6537,-4979
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-09-04,9851,-5156,-4695
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-09-11,9186,-4119,-5067
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-09-18,6463,-2428,-4035
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-09-25,2483,78,-2561
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-10-02,-835,1480,-645
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-10-09,-3744,4039,-295
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-10-16,-1195,1969,-774
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-10-23,1780,-524,-1256
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-10-30,4307,-2657,-1650
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-11-06,5565,-3124,-2441
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-11-13,8517,-6402,-2115
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-11-20,9659,-6601,-3058
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-11-27,13789,-7920,-5869
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-12-04,12013,-8355,-3658
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-12-11,10360,-7992,-2368
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-12-18,11263,-9044,-2219
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-12-24,10872,-8063,-2809
COPPER- #1 - COMMODITY EXCHANGE INC.,2007-12-31,9765,-7270,-2495
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-01-08,9278,-6197,-3081
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-01-15,10857,-8815,-2042
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-01-22,12719,-9048,-3671
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-01-29,12918,-9336,-3582
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-02-05,10875,-7229,-3646
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-02-12,3248,554,-3802
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-02-19,-14,3552,-3538
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-02-26,-4981,5581,-600
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-03-04,-9142,9096,46
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-03-11,-9289,10000,-711
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-03-18,-6865,7343,-478
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-03-25,-4976,7555,-2579
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-04-01,-7252,9581,-2329
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-04-08,-6974,8841,-1867
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-04-15,-7913,9283,-1370
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-04-22,-7889,9013,-1124
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-04-29,-4502,6564,-2062
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-05-06,-5408,7194,-1786
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-05-13,-2953,4188,-1235
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-05-20,-4282,5040,-758
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-05-27,-1716,3661,-1945
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-06-03,2743,-887,-1856
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-06-10,2678,184,-2862
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-06-17,-407,3189,-2782
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-06-24,-5592,6618,-1026
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-07-01,-7643,7438,205
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-07-08,-6861,6538,323
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-07-15,-2114,3019,-905
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-07-22,1355,993,-2348
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-07-29,6022,-2242,-3780
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-08-05,7821,-4319,-3502
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-08-12,11035,-5442,-5593
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-08-19,15551,-9127,-6424
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-08-26,17529,-11052,-6477
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-09-02,18055,-12069,-5986
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-09-09,18553,-13419,-5134
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-09-16,18556,-12397,-6159
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-09-23,14154,-9899,-4255
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-09-30,21149,-16169,-4980
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-10-07,23351,-18799,-4552
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-10-14,21994,-18127,-3867
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-10-21,21384,-17579,-3805
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-10-28,19098,-15883,-3215
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-11-04,18191,-16158,-2033
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-11-11,17628,-15409,-2219
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-11-18,18122,-16244,-1878
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-11-25,19127,-16097,-3030
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-12-02,20205,-17722,-2483
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-12-09,19756,-17217,-2539
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-12-16,19112,-18241,-871
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-12-22,19937,-19068,-869
COPPER- #1 - COMMODITY EXCHANGE INC.,2008-12-30,21510,-19445,-2065
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-01-06,20363,-19689,-674
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-01-13,26017,-23106,-2911
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-01-20,26932,-25309,-1623
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-01-27,27071,-25530,-1541
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-02-03,27299,-25238,-2061
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-02-10,25604,-24645,-959
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-02-17,28842,-27427,-1415
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-02-24,29085,-27494,-1591
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-03-03,26871,-24897,-1974
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-03-10,19165,-20076,911
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-03-17,16856,-18847,1991
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-03-24,15976,-18415,2439
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-03-31,18055,-18525,470
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-04-07,16615,-17398,783
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-04-14,16656,-18861,2205
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-04-21,17356,-19480,2124
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-04-28,16284,-17885,1601
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-05-05,17059,-18538,1479
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-05-12,15791,-18739,2948
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-05-19,14879,-18808,3929
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-05-26,15473,-17712,2239
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-06-02,15440,-18654,3214
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-06-09,14562,-18769,4207
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-06-16,14962,-18464,3502
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-06-23,20601,-21735,1134
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-06-30,21618,-20064,-1554
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-07-07,20784,-20961,177
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-07-14,20497,-20137,-360
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-07-21,15239,-16060,821
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-07-28,13398,-14575,1177
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-08-04,8920,-10654,1734
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-08-11,8808,-10410,1602
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-08-18,93,-1257,1164
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-08-25,1307,-1244,-63
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-09-01,4075,-3548,-527
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-09-08,1781,-2248,467
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-09-15,1127,-2333,1206
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-09-22,1583,-3537,1954
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-09-29,6614,-6281,-333
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-10-06,5175,-4771,-404
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-10-13,489,-1829,1340
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-10-20,-3900,1685,2215
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-10-27,-9427,9055,372
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-11-03,-10861,9062,1799
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-11-09,-10804,7562,3242
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-11-17,-11421,9251,2170
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-11-24,-13039,11136,1903
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-12-01,-11644,11220,424
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-12-08,-14198,12626,1572
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-12-15,-11893,10477,1416
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-12-22,-10039,8575,1464
COPPER- #1 - COMMODITY EXCHANGE INC.,2009-12-29,-16398,14534,1864
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-01-05,-18432,16528,1904
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-01-12,-26903,22541,4362
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-01-19,-30974,27667,3307
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-01-26,-29406,28770,636
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-02-02,-18723,18272,451
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-02-09,-12128,13650,-1522
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-02-16,-11029,14080,-3051
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-02-23,-14391,15964,-1573
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-03-02,-12913,15867,-2954
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-03-09,-16964,18278,-1314
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-03-16,-17163,19004,-1841
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-03-23,-15713,18051,-2338
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-03-30,-20924,21657,-733
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-04-06,-24568,22946,1622
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-04-13,-23781,23468,313
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-04-20,-21201,20914,287
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-04-27,-20171,19810,361
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-05-04,-13338,13490,-152
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-05-11,-8518,10598,-2080
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-05-18,-4079,7225,-3146
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-05-25,-520,3983,-3463
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-06-01,-2534,5311,-2777
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-06-08,-703,1282,-579
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-06-15,1039,1436,-2475
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-06-22,1148,1473,-2621
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-06-29,154,2862,-3016
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-07-06,1793,2185,-3978
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-07-13,-504,4358,-3854
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-07-20,742,3915,-4657
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-07-27,-5182,11250,-6068
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-08-03,-8905,12960,-4055
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-08-10,-14277,16646,-2369
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-08-17,-12066,14479,-2413
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-08-24,-4710,9414,-4704
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-08-31,-10589,13230,-2641
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-09-07,-13091,14783,-1692
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-09-14,-17436,16409,1027
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-09-21,-18747,17081,1666
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-09-28,-23747,22162,1585
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-10-05,-26626,24399,2227
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-10-12,-27323,24068,3255
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-10-19,-29337,26150,3187
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-10-26,-29186,26463,2723
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-11-02,-28565,25208,3357
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-11-09,-34883,30089,4794
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-11-16,-29204,25960,3244
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-11-23,-25426,22790,2636
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-11-30,-23909,21107,2802
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-12-07,-32311,26432,5879
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-12-14,-34846,30268,4578
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-12-21,-35704,32163,3541
COPPER- #1 - COMMODITY EXCHANGE INC.,2010-12-28,-35147,31802,3345
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-01-04,-34957,31613,3344
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-01-11,-36201,30107,6094
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-01-18,-34305,30189,4116
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-01-25,-27546,23912,3634
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-02-01,-28148,24711,3437
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-02-08,-33230,29460,3770
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-02-15,-33673,29039,4634
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-02-22,-28534,23230,5304
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-03-01,-27951,26619,1332
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-03-08,-25929,24310,1619
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-03-15,-22500,23362,-862
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-03-22,-23277,21822,1455
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-03-29,-28994,27044,1950
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-04-05,-27840,22384,5456
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-04-12,-35687,30990,4697
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-04-19,-26893,25059,1834
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-04-26,-26426,23678,2748
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-05-03,-19795,21004,-1209
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-05-10,-8451,11819,-3368
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-05-17,-3168,7745,-4577
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-05-24,-2547,6028,-3481
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-05-31,-7533,9980,-2447
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-06-07,-8548,9728,-1180
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-06-14,-8926,10734,-1808
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-06-21,-6647,9765,-3118
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-06-28,-5788,10005,-4217
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-07-05,-18589,18963,-374
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-07-12,-25564,23786,1778
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-07-19,-27815,23749,4066
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-07-26,-27302,24591,2711
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-08-02,-26219,24263,1956
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-08-09,-9535,10861,-1326
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-08-16,-890,5894,-5004
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-08-23,1300,3850,-5150
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-08-30,1472,2702,-4174
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-09-06,2013,3497,-5510
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-09-13,4056,1828,-5884
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-09-20,9677,-3299,-6378
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-09-27,8555,-1462,-7093
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-10-04,9323,-3418,-5905
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-10-11,14419,-7059,-7360
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-10-18,13547,-5339,-8208
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-10-25,10902,-2938,-7964
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-11-01,6581,1787,-8368
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-11-08,4163,312,-4475
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-11-15,5541,-1114,-4427
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-11-22,9639,-4222,-5417
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-11-29,9606,-3308,-6298
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-12-06,7724,-2632,-5092
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-12-13,7953,-3356,-4597
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-12-20,11372,-4955,-6417
COPPER- #1 - COMMODITY EXCHANGE INC.,2011-12-27,10383,-3592,-6791
COPPER- #1 - COMMODITY EXCHANGE INC.,2012-01-03,7834,-1548,-6286
COPPER- #1 - COMMODITY EXCHANGE INC.,2012-01-10,6835,-1710,-5125
COPPER- #1 - COMMODITY EXCHANGE INC.,2012-01-17,2132,2311,-4443
COPPER- #1 - COMMODITY EXCHANGE INC.,2012-01-24,174,4523,-4697
